Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Site name,canonical_Address,canonical_Zip,canonical_Phone
0,0.97273960731568,0,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'salvation army - temple / salvation army',b'1 n ogden ave',b'60640',b'2262649'
0,0.97273960731568,1,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'salvation army - temple / salvation army',b'1 n ogden ave',b'60640',b'2262649'
7,0.9819346070573783,2,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'national louis university - dr. effie o. ellis training center',b'10 s kedzie ave',b'',b'5339011'
7,0.9819346070573783,3,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'national louis university - dr. effie o. ellis training center',b'10 s kedzie ave',b'',b'5339011'
8,0.9819346070573783,4,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'board trustees-city colleges of chicago - olive-harvey college',b'10001 s woodlawn ave',b'',b'2916100'
8,0.9819346070573783,5,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'board trustees-city colleges of chicago - olive-harvey college',b'10001 s woodlawn ave',b'',b'2916100'
11,0.9819346070573783,6,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'easter seals society of metropolitan chicago - gilchrist-marchman',b'1001 w roosevelt rd',b'',b'9395115'
11,0.9819346070573783,7,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'easter seals society of metropolitan chicago - gilchrist-marchman',b'1001 w roosevelt rd',b'',b'9395115'
14,0.9504530239950795,8,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Uptown Head Start / Hull House,1020 W Bryn Mawr Ave ,,7695753,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'hull house association - uptown head start / hull house',b'1020 w bryn mawr ave',b'60660',b'7695753'
15,0.9819346070573783,9,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'hull house association - child dev. central office- hull house cds-homes',b'1030 w van buren st',b'',b'9068600'
15,0.9819346070573783,10,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'hull house association - child dev. central office- hull house cds-homes',b'1030 w van buren st',b'',b'9068600'
16,0.9819346070573783,11,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'catholic charities of the archdiocese of chicago - st. kevin',b'10509 s torrence ave',b'',b'3746466'
16,0.9819346070573783,12,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'catholic charities of the archdiocese of chicago - st. kevin',b'10509 s torrence ave',b'',b'3746466'
690,1.0,13,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Community Learning Center,10612 S Wentworth ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'chicago state university - community learning center',b'10612 s wentworth',b'',b''
17,0.9819346070573783,14,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'catholic charities of the archdiocese of chicago - cordia marian',b'1100 s may st',b'',b'6663787'
17,0.9819346070573783,15,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'catholic charities of the archdiocese of chicago - cordia marian',b'1100 s may st',b'',b'6663787'
691,1.0,16,CPS_Early_Childhood_Portal_scrape.csv, Thresholds - Thresholds Mothers' Project,1110 W Belmont Ave ,,4723558,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,"b""thresholds - thresholds mothers' project""",b'1110 w belmont ave',b'',b'4723558'
20,0.9819346070573783,17,CPS_Early_Childhood_Portal_scrape.csv, Bethel New Life - Molade Child Development Center,1120 N Lamon Ave ,,6267760,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'bethel new life - molade child development center',b'1120 n lamon ave',b'',b'6267760'
21,0.9416088240829921,18,CPS_Early_Childhood_Portal_scrape.csv, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'south east asia center - south-east asia center(ainslie)',b'1124 w ainslie st',b'60640',b'9897433'
23,0.9689425495647189,19,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'ada s. mckinley community services - mckinley - roseland',b'11410 s edbrooke ave',b'60628',b'4681918'
23,0.9689425495647189,20,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'ada s. mckinley community services - mckinley - roseland',b'11410 s edbrooke ave',b'60628',b'4681918'
26,0.9819346070573783,21,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Truman,1145 W Wilson Ave ,,8781700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'board trustees-city colleges of chicago - truman',b'1145 w wilson ave',b'',b'8781700'
28,0.9819346070573783,22,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'chicago state university - gingerbread house',b'11640 s wentworth ave',b'',b'9284041'
28,0.9819346070573783,23,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'chicago state university - gingerbread house',b'11640 s wentworth ave',b'',b'9284041'
29,0.9819346070573783,24,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'chicago state university - academy of early education',b'124 e 113th st',b'',b'7858163'
29,0.9819346070573783,25,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'chicago state university - academy of early education',b'124 e 113th st',b'',b'7858163'
30,0.9819346,26,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Stepping Stones Early/Childhood Lear,1300 E 75th St ,,4930000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'easter seals society of metropolitan chicago - stepping stones early/childhood lear',b'1300 e 75th st',b'',b'4930000'
31,0.9819346070573783,27,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'marcy newberry association - fosco abla center',b'1312 s racine ave',b'',b'7466024'
31,0.9819346070573783,28,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'marcy newberry association - fosco abla center',b'1312 s racine ave',b'',b'7466024'
32,0.9819346070573783,29,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Incarnation / Salvation Army,1345 N Karlov Ave ,,2764118,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'salvation army - incarnation / salvation army',b'1345 n karlov ave',b'',b'2764118'
34,0.914803941041773,30,CPS_Early_Childhood_Portal_scrape.csv, Abraham Lincoln Centre - Hope Presbyterian Church,1354 W 61st St ,,4715100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'abraham lincoln centre - hope presbyterian church',b'1354 w 61st st',b'',b'4715100'
